siteID,siteName,status,startdate,stopdate,county,state,latitude,longitude,elevation
NY68,Biscuit Brook,A,03/09/2004,NULL,Ulster,NY,41.9936,-74.5031,634
PA37,Waynesburg,A,05/27/1999,NULL,Greene,PA,39.8161,-80.2850,452
WV99,Canaan Valley Institute,A,06/26/2007,NULL,Tucker,WV,39.0636,-79.4222,988
MI48,Seney National Wildlife Refuge-Headquarters,A,11/11/2003,NULL,Schoolcraft,MI,46.2889,-85.9504,220
AL02,Delta Elementary,I,06/05/2001,12/31/2009,Baldwin,AL,30.7907,-87.8498,66
SC05,Cape Romain National Wildlife Refuge,A,03/02/2004,NULL,Charleston,SC,32.9430,-79.6592,1
SC03,Savannah River,A,01/29/2001,NULL,Barnwell,SC,33.2450,-81.6505,90
IN21,Clifty Falls State Park,A,01/12/2001,NULL,Jefferson,IN,38.7622,-85.4202,256
PA60,Valley Forge,A,11/23/1999,NULL,Montgomery,PA,40.1166,-75.8833,46
PA30,Erie,A,06/20/2000,NULL,Erie,PA,42.1558,-80.1134,177
AL03,Centreville,A,06/20/2000,NULL,Bibb,AL,32.9035,-87.2499,135
CA72,San Jose,I,01/11/2000,12/27/2006,Santa Clara,CA,37.4276,-122.0624,1
GA40,Yorkville,A,06/13/2000,NULL,Paulding,GA,33.9311,-85.0461,395
LA23,Alexandria,I,02/01/2001,06/29/2010,Rapides,LA,31.1698,-92.3971,16
AL24,Bay Road,I,05/22/2001,12/31/2009,Mobile,AL,30.4746,-88.1411,6
GA22,Jefferson Street,I,06/11/2002,06/29/2004,Fulton,GA,33.7769,-84.4139,265
IN28,Bloomington,I,12/15/2000,01/26/2010,Monroe,IN,39.1464,-86.6133,256
BC06,Reifel Island,I,03/28/2000,02/18/2004,,BC,49.1000,-123.1700,1
ME04,Carrabassett Valley,A,02/17/2009,NULL,Franklin,ME,45.0803,-70.2118,259
MI29,Peshawbestown,I,05/08/2007,09/01/2009,Leelanau,MI,45.0289,-85.6292,209
